id;name;idp_code;is_enabled
1;bypassing Electronics;Chief content-based;true
2;projection District FTP;moderator Money Market Account fresh-thinking;true
3;Bacon Plastic;Refined Wooden Bike;false
4;Shoes homogeneous Toys;models time-frame;false
5;USB;Function-based vortals clear-thinking;true
6;Factors bluetooth Outdoors;Solutions Steel;false
7;bandwidth Avon;Programmable;true
8;Graphic Interface Bike Unbranded;Oklahoma wireless;false
9;Direct grid-enabled object-oriented;modular Outdoors;true
10;Cheese Quality-focused;Assurance;false
