id;customer_id;news_id;branch_manager_id;created_time;updated_time;reprocess_description;current_status
1;91000;13170;52441;2021-04-17T18:22:42;2021-04-17T17:22:59;Forges Program;APPROVED
2;2602;64541;39363;2021-04-18T08:32:40;2021-04-18T03:19:10;JSON overriding Kip;REJECTED
3;32273;69367;87376;2021-04-18T01:34:38;2021-04-17T21:37:08;transmitting Ameliorated;APPROVED
4;63342;41241;75264;2021-04-17T18:55:54;2021-04-17T23:50:44;haptic;REJECTED
5;58009;53127;18196;2021-04-17T23:00:34;2021-04-17T22:15:12;Money Market Account;REJECTED
6;70326;37654;50774;2021-04-18T06:01:38;2021-04-18T05:32:58;COM;REJECTED
7;42245;29046;38413;2021-04-18T10:51:03;2021-04-18T11:31:54;Central bleeding-edge lime;APPROVED
8;58434;80644;28105;2021-04-17T21:54:23;2021-04-17T23:25:37;Future Jewelery;REJECTED
9;74481;85752;17724;2021-04-18T04:20:32;2021-04-18T07:50:56;Syrian Arab Republic hacking;REPROCESS
10;33341;46080;32929;2021-04-18T02:48:56;2021-04-17T18:16:33;Wisconsin;REPROCESS
