id;customer_id;service_id;branch_manager_id;created_time;updated_time;reprocess_description;current_status
1;81120;5259;39135;2021-06-04T14:41:32;2021-06-04T14:46:22;maximized XSS;REJECTED
2;35348;80007;50099;2021-06-04T10:42:46;2021-06-04T21:27:18;Checking Account Crossroad;REJECTED
3;69834;26487;1118;2021-06-04T11:37:22;2021-06-05T00:35:36;Fantastic protocol;CANCELLED
4;44931;73841;10666;2021-06-04T23:38:07;2021-06-05T00:36:38;Sri Lanka;APPLIED
5;78931;17214;7173;2021-06-04T17:33:03;2021-06-05T04:16:49;olive THX invoice;CANCELLED
6;36667;26153;50393;2021-06-04T20:56:30;2021-06-05T07:35:53;Web Ergonomic Plastic Car;REJECTED
7;37146;97358;84903;2021-06-05T00:29:21;2021-06-04T12:50:47;Agent;REJECTED
8;19615;46099;51583;2021-06-05T06:44:16;2021-06-04T19:08:53;quantify microchip;REJECTED
9;88646;74866;19153;2021-06-05T09:04:24;2021-06-05T00:41:08;Mexico;CANCELLED
10;30342;88446;35702;2021-06-05T00:20:22;2021-06-04T23:15:07;synthesizing Investor 24/7;APPROVED
