id;status;description;updated_time;action_done_branch_manager_id
1;APPLIED;Pataca action-items infomediaries;2021-06-04T23:23:44;approach Personal Loan Account
2;REJECTED;primary Colombia sticky;2021-06-04T10:55:22;payment Illinois
3;CANCELLED;architect leverage Keyboard;2021-06-04T13:00:01;microchip Sports
4;REJECTED;standardization Sausages deposit;2021-06-05T08:14:54;sensor
5;REJECTED;Chief payment well-modulated;2021-06-05T09:09:34;Bedfordshire Unbranded Metal Towels Berkshire
6;REJECTED;Savings Account;2021-06-04T20:12:59;Rand monitoring
7;APPROVED;extensible parse Granite;2021-06-05T04:13:13;Mission Developer
8;CANCELLED;User-friendly Incredible Soft Fish aggregate;2021-06-04T17:40:15;analyzer client-server Analyst
9;REJECTED;Assurance redefine International;2021-06-05T09:19:35;Strategist Generic synthesizing
10;APPROVED;sky blue Avon;2021-06-05T02:23:55;indigo Bosnia and Herzegovina
